TÍTULO,DIRECTOR,PRODUCTOR,DURACIÓN,DISTRIBUIDOR,ESPECTADORES,TAQUILLA,FECHA DE ESTRENO,CLASIFICACIÓN,AÑO DE ESTRENO,MES DE ESTRENO
ENCERRADA,VÍCTOR GARCÍA,FIVE 7 MEDIA,87.2,CINECOLOR FILMS,395491,2806039712,20/06/2014,,2014,June
ESTRELLA DEL SUR,GABRIEL GONZALEZ,PARALELO PRODUCCIONES,111.0,CINE COLOMBIA,6622,47638250,03/04/2013,,2013,April
ESTRELLA QUIERO SER,GUSTAVO NIETO ROA,PRODUCTORA LAP LTDA.,104.0,PROCINAL,4354,28802590,14/08/2014,,2014,August
GARCÍA,JOSÉ LUÍS RÚGELES,RHAYUELA CINE S.A.,100.0,CINEPLEX,54137,367032550,13/08/2010,,2010,August
GENTE DE BIEN,FRANCO LOLLI,EVIDENCIA FILMS,86.1,CINE COLOMBIA,24776,195011150,28/05/2015,MAY 7 AÑOS,2015,May
"GORDO, CALVO Y BAJITO",CARLOS OSUNA,MALTACINE S.A.S,97.0,CINEPLEX,2987,15094713,18/05/2012,,2012,May
GÜELCOM TU COLOMBIA,RICARDO CORAL DORADO,GUELCOM TU COLOMBIA,93.0,DIAMOND FILMS,301899,2072412370,24/09/2015,TODO PUBLICO,2015,September
HUMO EN TUS OJOS,MAURICIO CATAÑO,MAURICIOCATAÑO PANESSO,93.0,,246,1116000,14/08/2009,,2009,August
ILEGAL.CO,ALESSANDRO ANGULO,LABERINTO CINE Y TELEVISIÓN LTDA.,70.2,LABERINTO PRODUCCIONES,769000,2779400,13/04/2012,,2012,April
IN FRAGANTI,JUAN CAMILO PINZÓN GÓMEZ,DAGO GARCÍA PRODUCCIONES S.A.S.,90.0,CINE COLOMBIA,132777,867786925,25/12/2009,,2009,December
INFIERNO O PARAÍSO,GERMÁN ENRIQUE PIFFANO MENDOZA,FÍLMICO,99.0,ROYAL FILMS,8880,50020500,23/10/2014,,2014,October
JARDÍN DE AMAPOLAS,JUAN CARLOS MELO GUEVARA,JUAN CARLOSMELO GUEVARA,87.0,ROYAL FILMS,5890,32072200,04/12/2014,,2014,December
