TÍTULO,DIRECTOR,PRODUCTOR,DURACIÓN,DISTRIBUIDOR,ESPECTADORES,TAQUILLA,FECHA DE ESTRENO,CLASIFICACIÓN,AÑO DE ESTRENO,MES DE ESTRENO
ALIAS MARIA,JOSÉ LUÍS RÚGELES,RHAYUELA CINE S.A.,91.5,CINE COLOMBIA,8664,63109000,12/11/2015,12,2015,November
EL ELEFANTE DESAPARECIDO,JAVIER FUENTES LEÓN,FAST PRODUCCIONES,110,CINE COLOMBIA,5443,45762400,16/04/2015,12,2015,April
ELLA,LIBIA STELLA GOMEZ,DOS DE DOS PRODUCCIONES,106.3,CINE COLOMBIA,4865,39091300,11/6/2015,12,2015,June
LA RECTORA,MATEO STIVELBERG,DYNAMO PRODUCCIONES,94.2,CINE COLOMBIA,28169,208768073,7/5/2015,12,2015,May
OUT OF THE DARK,LUIS QUILEZ,FAST PRODUCCIONES,92,CINECOLOR FILMS,93490,668708691,22/01/2015,12,2015,January
REFUGIADO,DIEGO LERMAN,BURNING BLUE,93,CINEPLEX,1651,13279850,10/12/2015,12,2015,December
RUIDO ROSA,ROBERTO FLORES PRIETO,KYMERA PRODUCCIONES E.U.,100,CINE COLOMBIA,4381,38483700,9/4/2015,12,2015,April
SHAKESPEARE,DAGO GARCÍA,DAGO GARCÍA PRODUCCIONES S.A.S,90,CINE COLOMBIA,1890,15591850,30/4/2015,12,2015,April
SIEMPREVIVA,KLYCH LÓPEZ,CMO PRODUCCIONES S.A.S.,101,CINE COLOMBIA,20558,167231696,1/10/2015,12,2015,October
SUAVE EL ALIENTO,AUGUSTO SANDINO,SCHWEIZEN MEDIA GROUP,90.5,CINEPLEX,2366,13983700,22/10/2015,12,2015,October
VIOLENCIA,JORGE FORERO,BURNING BLUE,74,CINE COLOMBIA,2813,26006850,22/10/2015,12,2015,October
MARAÑON,SALOMÓN SIMHON,DYNAMO PRODUCCIONES,81.5,CINE COLOMBIA,3829,27578800,26/11/2015,15,2015,November
